ID,DAY,RACE,ACTOR,TEXT,TYPE,TONE,MOOD,CLIENT,EXTRA,SUSPECT1,SUSPECT2,SUSPECT3,CORRECTANSWER
#DD06030199--,DD,Desconocida,Mikujefe,Bueno ¿Qué tal tu primer día? Espero que bien porque eso significa jugosos beneficios para mi.,dialogue,interrogative,neutral,clientFINAL,,,,,
#DD06030299--,DD,Desconocida,Mikujefe,Porque algún inepto juez no consideró digno mi cosplay y no me he llevado el premio económico que claramente merecía.,dialogue,normal,neutral,clientFINAL,,,,,
#DD06030399--,DD,Desconocida,Mikujefe,"Y además, llevas jugando demasiado tiempo gratis a esta demo y eso no es bueno para mi negocio.",dialogue,normal,neutral,clientFINAL,,,,,
#DD06030499--,DD,Desconocida,Mikujefe,"¿Pero sabes lo que sí que es bueno para el negocio? Los NF... Que no hombre, ni que fuera RillyWex.",dialogue,interrogative,neutral,clientFINAL,,,,,
#DD06030599--,DD,Desconocida,Mikujefe,Pero nunca está de más un feedback constructivo. Te dejo en manos de Jack 'O' Boo que te hará preguntitas al respecto.,dialogue,normal,neutral,clientFINAL,,,,,
#DD06039999--,DD,Desconocida,Mikujefe,"Nos veremos próximamente en Steam, ¡ESTATE ATENTO A LAS REDES DE SLEEPYSKULLSTUDIO!",end,exclamative,neutral,clientFINAL,,,,,
#0106010000--,01,Desconocida,Minijefe,¡Genial! has podido seguir una orden sencilla. Vas a ser un humano muy útil.,init,exclamative,neutral,clientZERO,,,,,
#0106010100--,01,Desconocida,Minijefe,"Eso me recuerda que debería subirle el sueldo a Jack 'O' Boo, lástima que ya lo haya olvidado...",dialogue,normal,neutral,clientZERO,,,,,
#0106010200--,01,Desconocida,Minijefe,"En fin... Bienvenido chico nuevo, a partir de ahora seré tu venerado jefe de esta maravillosa tienda.",dialogue,normal,neutral,clientZERO,,,,,
#0106010300--,01,Desconocida,Minijefe,Tu deber es cobrar debidamente a los clientes que aquí vienen ¿Sencillo verdad?,dialogue,interrogative,neutral,clientZERO,,,,,
#0106010400--,01,Desconocida,Minijefe,"Como no quiero saturar tu cerebro diminuto el primer día, solo veremos dos direcciones: arriba y derecha.",dialogue,normal,neutral,clientZERO,,,,,
#0106010500--,01,Desconocida,Minijefe,A la derecha verás una caja registradora donde te aparecerá el dinero que ha traído el cliente.,dialogue,normal,neutral,clientZERO,,,,,
#0106010600CP,01,Desconocida,Minijefe,Más a la derecha tendrás una tabla con los precios estándar de los productos que aquí se venden.,dialogue,normal,neutral,clientZERO,cameraPrices,,,,
#0106010700--,01,Desconocida,Minijefe,Si miras arriba verás dos cadenas cada una con un uso concreto. ¡ATIENDE!,dialogue,exclamative,neutral,clientZERO,,,,,
#0106010800--,01,Desconocida,Minijefe,"Si es una cuerda con moho verde, es la que tirarás de ella cuando el cliente traiga todo correcto.",dialogue,normal,neutral,clientZERO,,,,,
#0106010900--,01,Desconocida,Minijefe,"Si es una cadena con agarre roja, es la que tirarás cuando algo no te cuadre en las cuentas.",dialogue,normal,neutral,clientZERO,,,,,
#0106011000--,01,Desconocida,Minijefe,¿Cobras bien? Monedita para tú ¿Cobras mal? Olvídate de tus propinas.,dialogue,interrogative,neutral,clientZERO,,,,,
#0106011100--,01,Desconocida,Minijefe,"Las propinas las tienes en el bote de la izquierda, pero prefiero no indicarte otra dirección más hoy.",dialogue,normal,neutral,clientZERO,,,,,
#0106011200--,01,Desconocida,Minijefe,No creo que mi seguro cubra lo que sea que le pase a tu cerebro si se sobrecarga.,dialogue,normal,neutral,clientZERO,,,,,
#0106019900--,01,Desconocida,Minijefe,"Suerte chico nuevo, la vas a necesitar.",end,normal,neutral,clientZERO,,,,,
#0104020001--,01,Magos Oscuros,Geeraard,"Greetings, citizen. The one and only Geeraard has arrived. You’re welcome, you’re welcome...",init,normal,neutral,clientONE,,,,,
#0104020101--,01,Magos Oscuros,Geeraard,Why aren’t you crying with joy yet? Why aren't you begging for my autograph while on your knees?,dialogue,interrogative,neutral,clientONE,,,,,
#0104020201--,01,Magos Oscuros,Geeraard,"You don’t know who I am?! Everyone here does. I’m the hero of heroes, who defeated the Demon King with a dagger and a blindfold.",dialogue,exclamative,neutral,clientONE,,,,,
#0104020301--,01,Magos Oscuros,Geeraard,Come on… all my fans (basically the entire kingdom) know I’m the greatest hero in history!,dialogue,normal,neutral,clientONE,,,,,
#0104029901--,01,Magos Oscuros,Geeraard,"Just charge me for this, maybe it’ll make this less… uncomfortable.",end,normal,neutral,clientONE,,,,,
#010402AA01--,01,Magos Oscuros,Geeraard,"Human, you should read some of my epic tales! I’ll maybe even autograph it next time.",tick,normal,neutral,clientONE,,,,,
#010402BB01--,01,Magos Oscuros,Geeraard,"OUTRAGEOUS! At least learn how to count coins, fool!",cross,exclamative,neutral,clientONE,,,,,
#0102010002--,01,Híbridos,Elvog,Hic… Heeeyy… you’re not the usssual guy… hic.,init,normal,neutral,clientTWO,,,,,
#0102010102--,01,Híbridos,Elvog,They fired meee hic... for drinking… Said I was old..!,dialogue,normal,neutral,clientTWO,,,,,
#0102010202--,01,Híbridos,Elvog,Said I didn’t do my job anymore...,dialogue,normal,neutral,clientTWO,,,,,
#0102010302--,01,Híbridos,Elvog,Just cause I’m 22 hic… I’m in the prime of my youth!,dialogue,normal,neutral,clientTWO,,,,,
#0102019902--,01,Híbridos,Elvog,"Anyway… hic, charge me already.",end,normal,neutral,clientTWO,,,,,
#010201AA02--,01,Híbridos,Elvog,"Thanks buddy hic, you’re my new favorite human..!",tick,normal,neutral,clientTWO,,,,,
#010201BB02--,01,Híbridos,Elvog,Meh... the other guy was better hic.,cross,normal,neutral,clientTWO,,,,,
#0103010003--,01,Limbásticos,Antonio,Hey… uh… I’m Anthony.,init,normal,neutral,clientTHREE,,,,,
#0103010103--,01,Limbásticos,Antonio,I’m so tired I’m not even alive anymore… haha… literally.,dialogue,normal,neutral,clientTHREE,,,,,
#0103019903--,01,Limbásticos,Antonio,Sorry for the bad jokes… just ring me up.,end,normal,neutral,clientTHREE,,,,,
#010301AA03--,01,Limbásticos,Antonio,Thanks… Wait- Why do I have two extra coins..?,tick,normal,neutral,clientTHREE,,,,,
#010301BB03--,01,Limbásticos,Antonio,"Oh, I was missing two coins, my bad..!",cross,normal,neutral,clientTHREE,,,,,
#0101050004--,01,Elementales,Tapicio,Greetings from my bleak existence…,init,normal,neutral,clientFOUR,,,,,
#0101050104--,01,Elementales,Tapicio,To be a tapestry is to live a decorative slavery.,dialogue,normal,neutral,clientFOUR,,,,,
#0101050204--,01,Elementales,Tapicio,"My life is like an emo song: long, sad… and poorly stitched.",dialogue,normal,neutral,clientFOUR,,,,,
#0101059904--,01,Elementales,Tapicio,Charge me before this day depresses me even more.,end,normal,neutral,clientFOUR,,,,,
#010105AA04--,01,Elementales,Tapicio,Thanks… one less sorrow today.,tick,normal,neutral,clientFOUR,,,,,
#010105BB04--,01,Elementales,Tapicio,Another shadow woven into my tapestry.,cross,normal,neutral,clientFOUR,,,,,
#0105010005--,01,Tecnópedos,Denjirenji,"Oh poor me… Once a samurai,  now a noodle heater…",init,normal,neutral,clientFIVE,,,,,
#0105010105--,01,Tecnópedos,Denjirenji,"UWAA! Forgive me, young one. Good morning!",dialogue,exclamative,neutral,clientFIVE,,,,,
#0105019905--,01,Tecnópedos,Denjirenji,"I’m in a bit of a rush, if you don’t mind, young human.",end,normal,neutral,clientFIVE,,,,,
#010501AA05--,01,Tecnópedos,Denjirenji,"Have a nice day, young human!",tick,exclamative,neutral,clientFIVE,,,,,
#010501BB05--,01,Tecnópedos,Denjirenji,Oh no! A single coin short..! I hope I don’t get fired..!,cross,normal,neutral,clientFIVE,,,,,
#0102030006--,01,Híbridos,Mara,"Hello dear, this place seriously needs an elevator.",init,normal,neutral,clientSIX,,,,,
#0102030106--,01,Híbridos,Mara,It’s exhausting not having my husband around…,dialogue,normal,neutral,clientSIX,,,,,
#0102030206--,01,Híbridos,Mara,"I ate him, and raising my little one alone is harder now.",dialogue,normal,neutral,clientSIX,,,,,
#0102039906--,01,Híbridos,Mara,"That reminds me I need to go to the zoo and fetch him. Could you charge me, please?",end,interrogative,neutral,clientSIX,,,,,
#010203AA06--,01,Híbridos,Mara,Thanks. I hope your partner eats you soon too.,tick,normal,neutral,clientSIX,,,,,
#010203BB06--,01,Híbridos,Mara,Now my son won’t have a pet. Thanks.,cross,exclamative,neutral,clientSIX,,,,,
#0103030007--,01,Limbásticos,Giovanni,"Ahoy! I’m Giovanni, and I found a new cookbook called: Neck…Ronomicon..! Or something like that…""",init,exclamative,neutral,clientSEVEN,,,,,
#0103030107--,01,Limbásticos,Giovanni,"I’m about to cook something divine, literally (it says it on page 137).""",dialogue,normal,neutral,clientSEVEN,,,,,
#0103039907--,01,Limbásticos,Giovanni,These are the ingredients for my dish!,end,normal,neutral,clientSEVEN,,,,,
#010303AA07--,01,Limbásticos,Giovanni,Grazzie! You’ll maybe get to taste it sometime.,tick,normal,neutral,clientSEVEN,,,,,
#010303BB07--,01,Limbásticos,Giovanni,Mamma miva! Without this… no recipe!,cross,exclamative,neutral,clientSEVEN,,,,,
#0101040008--,01,Elementales,Rocón,H-hi… s-sorry for the st-stuttering…,init,normal,neutral,clientEIGHT,,,,,
#0101040108--,01,Elementales,Rocón,I w-want to buy this for my d-dad…,dialogue,normal,neutral,clientEIGHT,,,,,
#0101049908--,01,Elementales,Rocón,It’s a d-dead cat… but with love… please charge me.,end,normal,neutral,clientEIGHT,,,,,
#010104AA08--,01,Elementales,Rocón,Th-th-thank you… he’ll l-love it.,tick,normal,neutral,clientEIGHT,,,,,
#010104BB08--,01,Elementales,Rocón,D-d-darn… I w-wanted to surprise him…,cross,normal,neutral,clientEIGHT,,,,,
#0106010099--,01,Desconocida,Minijefe,I bet you’re exhausted… well I don’t care.,init,normal,neutral,clientFINAL,,,,,
#0106010199--,01,Desconocida,Minijefe,A little birdie — called the Employment Inspector — told me you’re homeless.,dialogue,normal,neutral,clientFINAL,,,,,
#0106010299--,01,Desconocida,Minijefe,Lucky you’ve got a generous and filthy rich boss like me… I’ll lend you one of the best homes in the kingdom.,dialogue,normal,neutral,clientFINAL,,,,,
#0106010399--,01,Desconocida,Minijefe,That wonderful place is… my mom’s basement.,dialogue,normal,neutral,clientFINAL,,,,,
#0106019999--,01,Desconocida,Minijefe,Hope you like it!,end,normal,neutral,clientFINAL,,,,,
#0206010000--,02,Desconocida,Minijefe,"Morning, newbie.",init,normal,neutral,clientZERO,,,,,
#0206010100--,02,Desconocida,Minijefe,"How was your first day? I thought that- Eh, I’ll be honest, I don’t care.",dialogue,interrogative,neutral,clientZERO,,,,,
#0206010200--,02,Desconocida,Minijefe,Today is “Magic Friday” — and it’ll stay that way the rest of the year. Like every year…,dialogue,normal,neutral,clientZERO,,,,,
#0206010300--,02,Desconocida,Minijefe,"Wizards get discounts, and the rest of the races… work extra hours!",dialogue,normal,neutral,clientZERO,,,,,
#0206010400--,02,Desconocida,Minijefe,"Also, several drinks are now banned for some races.",dialogue,normal,neutral,clientZERO,,,,,
#0206010500CR,02,Desconocida,Minijefe,Check the rules — they’re on the left side of your screen.,dialogue,normal,neutral,clientZERO,cameraRegulations,,,,
#0206019900--,02,Desconocida,Minijefe,"Good luck, newbie.",end,normal,neutral,clientZERO,,,,,
#0202020001--,02,Híbridos,Lepión,"Hey, human.",init,normal,neutral,clientONE,,,,,
#0202020101--,02,Híbridos,Lepión,That walking microwave from yesterday? Gave you the wrong amount of coins.,dialogue,normal,neutral,clientONE,,,,,
#0202020201--,02,Híbridos,Lepión,I brought one extra coin so they can fire him.,dialogue,normal,neutral,clientONE,,,,,
#0202029901--,02,Híbridos,Lepión,"Anyway, charge me for this.",end,normal,neutral,clientONE,,,,,
#020202AA01--,02,Híbridos,Lepión,"Later, dumb human.",tick,normal,neutral,clientONE,,,,,
#020202BB01--,02,Híbridos,Lepión,Can’t even count? You just lost the real type of clients.,cross,normal,neutral,clientONE,,,,,
#0203030002--,02,Limbásticos,Giovanni,Buongiorno! Yesterday’s dish turned out… perfecto!,init,exclamative,neutral,clientTWO,,,,,
#0203030102--,02,Limbásticos,Giovanni,Though it started speaking ancient languages… kinda weird.,dialogue,interrogative,neutral,clientTWO,,,,,
#0203030202--,02,Limbásticos,Giovanni,This new recipe needs something… spicyyyyyy..!,dialogue,normal,neutral,clientTWO,,,,,
#0203030302--,02,Limbásticos,Giovanni,The Necronomicon said it required lava from hell itself…,dialogue,normal,neutral,clientTWO,,,,,
#0203039902--,02,Limbásticos,Giovanni,But I think an energy drink will do just fine.,end,normal,neutral,clientTWO,,,,,
#020303AA02--,02,Limbásticos,Giovanni,Thanks! You’ll maybe get to taste it~!,tick,normal,neutral,clientTWO,,,,,
#020303BB02--,02,Limbásticos,Giovanni,Are these ingredients banned now? What a flavorless world!,cross,interrogative,neutral,clientTWO,,,,,
#0204050003--,02,Magos Oscuros,Manomo,Hey tiny one! I’m Manny Pointy Top.,init,exclamative,neutral,clientTHREE,,,,,
#0204050103--,02,Magos Oscuros,Manomo,One of my gnomes snuck into the store.,dialogue,normal,neutral,clientTHREE,,,,,
#0204050203--,02,Magos Oscuros,Manomo,His name’s Josh Michael Slipperybutt.,dialogue,normal,neutral,clientTHREE,,,,,
#0204050303--,02,Magos Oscuros,Manomo,"If you spot him a few times, he’s yours.",dialogue,normal,neutral,clientTHREE,,,,,
#020405GN03--,02,Magos Oscuros,Manomo,Not sure if you’ll like him though — he’s pretty annoying. Good luck!,gnome,normal,neutral,clientTHREE,,,,,
#0203020004--,02,Limbásticos,Cululu,Good morning? I dunno… I only see purple.,init,interrogative,neutral,clientFOUR,,,,,
#0203020104--,02,Limbásticos,Cululu,You might be confused: eyes up here — I’m the orb that talks.,dialogue,normal,neutral,clientFOUR,,,,,
#0203020204--,02,Limbásticos,Cululu,"My name’s Cululu, and until recently, I was a hybrid.""",dialogue,normal,neutral,clientFOUR,,,,,
#0203020304--,02,Limbásticos,Cululu,I died yesterday at a gas station… and ended up inside this orb.,dialogue,normal,neutral,clientFOUR,,,,,
#0203020404--,02,Limbásticos,Cululu,"I saw a guy with a weird book doing some ritual, and when he saw me — whack! Orb to the face.",dialogue,normal,neutral,clientFOUR,,,,,
#0203020504--,02,Limbásticos,Cululu,"Then I woke up, like this. Guess it’s not too bad, since I still have my… date~.",dialogue,normal,neutral,clientFOUR,,,,,
#0203020604--,02,Limbásticos,Cululu,"Life’s short, and that mangaroo is totally my type.",dialogue,normal,neutral,clientFOUR,,,,,
#0203020704--,02,Limbásticos,Cululu,"I need to look good… well, as good as an orb can.",dialogue,normal,neutral,clientFOUR,,,,,
#0203020804--,02,Limbásticos,Cululu,"Anyway, hope they catch the guy soon before the detective bugs me.",dialogue,normal,neutral,clientFOUR,,,,,
#0203029904--,02,Limbásticos,Cululu,Go ahead and charge me for these potions — I’ve got a date in a few minutes!,end,normal,neutral,clientFOUR,,,,,
#020302AA04--,02,Limbásticos,Cululu,"Thanks, bro! Wish me luck!",tick,exclamative,neutral,clientFOUR,,,,,
#020302BB04--,02,Limbásticos,Cululu,Dude! I had all the money..?!,cross,exclamative,neutral,clientFOUR,,,,,
#0202040005--,02,Híbridos,Petra,Hey there! Today’s my first day as an explorer.,init,exclamative,neutral,clientFIVE,,,,,
#0202040105--,02,Híbridos,Petra,"I replaced a drunk hippo-toad… crazy story, really!",dialogue,normal,neutral,clientFIVE,,,,,
#0202049905--,02,Híbridos,Petra,"He hadn’t worked in 12 years apparently... Anyways, I’m so excited!",end,exclamative,neutral,clientFIVE,,,,,
#020204AA05--,02,Híbridos,Petra,Wish me luck on my first day!,tick,exclamative,neutral,clientFIVE,,,,,
#020204BB05--,02,Híbridos,Petra,Oh no… this stuff was for work…,cross,normal,neutral,clientFIVE,,,,,
#0201060006--,02,Elementales,Terry,Hey buddy! How ya doing? Great? Awful?,init,interrogative,neutral,clientSIX,,,,,
#0201060106--,02,Elementales,Terry,I’M TERRY-FIC! HAHAHA!!!,dialogue,exclamative,neutral,clientSIX,,,,,
#0201060206--,02,Elementales,Terry,"I’m Terry, the party elemental — I love any celebration!",dialogue,normal,neutral,clientSIX,,,,,
